CCG19CD,CCG19NM,CTYUA19CD,CTYUA19NM,CCG_AREA_HA,CTYUA_AREA_HA,CCG_CTYUA_AREA_PROP,PCDS_IN_CCG,PCDS_IN_CTYUA,CCG_CTYUA_PCD_PROP
E38000075,NHS Hartlepool and Stockton-on-Tees CCG,E06000001,Hartlepool,9839.075149,9844.169162,1,2626,2626,1
E38000162,NHS South Tees CCG,E06000002,Middlesbrough,5453.793748,5455.358714,1,3792,3792,1
E38000162,NHS South Tees CCG,E06000003,Redcar and Cleveland,25383.53822,25389.09351,1,4002,4002,1
E38000075,NHS Hartlepool and Stockton-on-Tees CCG,E06000004,Stockton-on-Tees,20964.86805,20973.0809,1,5363,5363,1
E38000042,NHS Darlington CCG,E06000005,Darlington,19740.88138,19747.5689,1,3113,3113,1
E38000068,NHS Halton CCG,E06000006,Halton,9027.815047,9032.15253,1,3097,3097,1
E38000194,NHS Warrington CCG,E06000007,Warrington,18230.18936,18238.36299,1,5358,5358,1
E38000014,NHS Blackburn with Darwen CCG,E06000008,Blackburn with Darwen,13697.87132,13702.20797,1,3307,3307,1
E38000015,NHS Blackpool CCG,E06000009,Blackpool,4313.756285,4315.077009,1,3503,3503,1
E38000224,NHS East Berkshire CCG,E06000039,Slough,3251.352375,3254.200896,1,2853,2853,1
E38000224,NHS East Berkshire CCG,E06000040,Windsor and Maidenhead,19840.22918,19842.71751,1,4475,4475,1
E38000221,NHS Berkshire West CCG,E06000041,Wokingham,17894.63964,17896.5481,1,4321,4321,1
E38000107,NHS Milton Keynes CCG,E06000042,Milton Keynes,30858.67224,30862.67893,1,7384,7384,1
E38000021,NHS Brighton and Hove CCG,E06000043,Brighton and Hove,8534.281214,8537.680006,1,5068,5068,1
E38000137,NHS Portsmouth CCG,E06000044,Portsmouth,6011.588092,6014.442573,1,4419,4419,1
E38000191,NHS Walsall CCG,E08000030,Walsall,10390.9515,10397.35383,1,5555,5555,1
E38000210,NHS Wolverhampton CCG,E08000031,Wolverhampton,6940.163022,6943.671183,1,5686,5686,1
E38000018,NHS Bradford City CCG,E08000032,Bradford,1648.56011,36641.9742,0.04,2225,14629,0.152095153
E38000019,NHS Bradford Districts CCG,E08000032,Bradford,16950.90695,36641.9742,0.46,8572,14629,0.585959396
E38000001,"NHS Airedale, Wharfedale and Craven CCG",E08000032,Bradford,18031.05413,36641.9742,0.49,3832,14629,0.261945451
E38000025,NHS Calderdale CCG,E08000033,Calderdale,36384.62614,36396.09895,1,7225,7225,1
E38000064,NHS Greater Huddersfield CCG,E08000034,Kirklees,31413.93415,40855.16641,0.77,6380,11376,0.560829817
E38000121,NHS North Kirklees CCG,E08000034,Kirklees,9427.382694,40855.16641,0.23,4995,11376,0.439082278
E38000225,NHS Leeds CCG,E08000035,Leeds,55156.76685,55170.65374,1,20231,20231,1
E38000190,NHS Wakefield CCG,E08000036,Wakefield,33848.67553,33861.97332,1,9402,9402,1
E38000212,NHS Newcastle Gateshead CCG,E08000037,Gateshead,14403.03791,14407.98515,1,5170,5170,1
E38000085,NHS Hull CCG,E06000010,"Kingston upon Hull, City of",8145.993751,8149.75111,1,5782,5782,1
E38000052,NHS East Riding of Yorkshire CCG,E06000011,East Riding of Yorkshire,223382.3277,249479.5371,0.9,9430,10314,0.914291255
E38000188,NHS Vale of York CCG,E06000011,East Riding of Yorkshire,25877.10743,249479.5371,0.1,884,10314,0.085708745
E38000119,NHS North East Lincolnshire CCG,E06000012,North East Lincolnshire,20283.71055,20355.40482,1,4410,4410,1
E38000122,NHS North Lincolnshire CCG,E06000013,North Lincolnshire,87538.10725,87568.47329,1,4789,4789,1
E38000188,NHS Vale of York CCG,E06000014,York,27201.09954,27201.48154,1,5368,5368,1
E38000229,NHS Derby and Derbyshire CCG,E06000015,Derby,7803.11243,7803.11243,1,5463,5463,1
E38000097,NHS Leicester City CCG,E06000016,Leicester,7327.282823,7334.207419,1,6004,6004,1
E38000051,NHS East Leicestershire and Rutland CCG,E06000017,Rutland,39369.71757,39374.89082,1,1259,1259,1
E38000132,NHS Nottingham City CCG,E06000018,Nottingham,7457.254707,7461.356048,1,6635,6635,1
E38000078,NHS Herefordshire CCG,E06000019,"Herefordshire, County of",217953.0657,217970.9443,1,6668,6668,1
E38000183,NHS Telford and Wrekin CCG,E06000020,Telford and Wrekin,29025.0552,29031.35452,1,5516,5516,1
E38000175,NHS Stoke on Trent CCG,E06000021,Stoke-on-Trent,9341.962575,9344.848335,1,6497,6497,1
E38000009,NHS Bath and North East Somerset CCG,E06000022,Bath and North East Somerset,35110.89481,35112.32138,1,5868,5868,1
E38000222,"NHS Bristol, North Somerset and South Gloucestershire CCG",E06000023,"Bristol, City of",23532.67902,23532.85736,1,11542,11542,1
E38000222,"NHS Bristol, North Somerset and South Gloucestershire CCG",E06000024,North Somerset,39067.28326,39081.509,1,6230,6230,1
E38000222,"NHS Bristol, North Somerset and South Gloucestershire CCG",E06000025,South Gloucestershire,53662.4697,53664.53557,1,6946,6946,1
E38000230,NHS Devon CCG,E06000026,Plymouth,8421.251812,8436.264299,1,6249,6249,1
E38000230,NHS Devon CCG,E06000027,Torbay,11942.91937,11946.70884,1,3767,3767,1
E38000181,NHS Swindon CCG,E06000030,Swindon,23007.1822,23009.33747,1,5176,5176,1
E38000026,NHS Cambridgeshire and Peterborough CCG,E06000031,Peterborough,34343.37419,34343.78642,1,4237,4238,0.99976404
E38000102,NHS Luton CCG,E06000032,Luton,4333.001222,4335.249165,1,3182,3182,1
E38000168,NHS Southend CCG,E06000033,Southend-on-Sea,6725.269386,6790.100147,0.99,3673,3673,1
E38000185,NHS Thurrock CCG,E06000034,Thurrock,18428.00233,18431.78586,1,3225,3225,1
E38000104,NHS Medway CCG,E06000035,Medway,26861.80848,26906.36869,1,5983,5983,1
E38000224,NHS East Berkshire CCG,E06000036,Bracknell Forest,10936.99502,10938.42103,1,2955,2955,1
E38000221,NHS Berkshire West CCG,E06000037,West Berkshire,70411.84126,70416.94024,1,5277,5277,1
E38000045,NHS Dorset CCG,E06000058,"Bournemouth, Christchurch and Poole",17342.47785,17357.98819,1,9463,9464,0.999894336
E38000045,NHS Dorset CCG,E06000059,Dorset,252098.1265,252127.8111,1,13015,13016,0.999923171
E38000016,NHS Bolton CCG,E08000001,Bolton,13970.32927,13979.20426,1,7214,7214,1
